fecha,temperatura_maxima,temperatura_minima,precipitacion
2024-01-01,34.2,22.1,0.0
2024-01-02,35.8,23.4,0.0
2024-01-03,36.1,24.0,0.0
2024-01-04,33.5,22.8,0.0
2024-01-05,30.2,21.0,18.0
2024-01-06,29.8,20.5,12.0
2024-01-07,31.4,21.3,0.0
2024-01-08,33.9,22.6,0.0
2024-01-09,35.2,23.8,0.0
2024-01-10,36.4,24.5,0.0
2024-01-11,34.7,23.1,0.0
2024-01-12,32.1,21.8,0.0
2024-01-13,29.5,20.2,25.0
2024-01-14,28.8,19.8,8.0
2024-01-15,30.6,20.9,0.0
2024-01-16,33.2,22.3,0.0
2024-01-17,35.0,23.5,0.0
2024-01-18,36.8,24.8,0.0
2024-01-19,35.4,24.1,0.0
2024-01-20,33.7,22.9,0.0
2024-01-21,31.2,21.4,14.0
2024-01-22,29.6,20.1,10.0
2024-01-23,30.8,20.7,0.0
2024-01-24,32.5,21.9,0.0
2024-01-25,34.3,23.0,0.0
2024-01-26,35.9,24.2,0.0
2024-01-27,36.2,24.6,0.0
2024-01-28,34.8,23.3,0.0
2024-01-29,32.4,21.7,0.0
2024-01-30,30.1,20.4,8.0
2024-01-31,31.7,21.2,5.0
2024-02-01,33.4,22.5,0.0
2024-02-02,35.1,23.7,0.0
2024-02-03,36.5,24.9,0.0
2024-02-04,35.6,24.3,0.0
2024-02-05,33.9,23.0,0.0
2024-02-06,31.5,21.6,0.0
2024-02-07,29.2,20.0,22.0
2024-02-08,28.6,19.5,15.0
2024-02-09,30.3,20.6,0.0
2024-02-10,32.8,22.0,0.0
2024-02-11,34.5,23.2,0.0
2024-02-12,35.7,24.1,0.0
2024-02-13,36.3,24.7,0.0
2024-02-14,34.9,23.5,0.0
2024-02-15,32.6,22.1,0.0
2024-02-16,30.4,20.8,18.0
2024-02-17,29.1,19.7,20.0
2024-02-18,28.3,19.2,12.0
2024-02-19,30.0,20.3,0.0
2024-02-20,32.2,21.5,0.0
2024-02-21,34.0,22.8,0.0
2024-02-22,35.4,23.9,0.0
2024-02-23,35.9,24.4,0.0
2024-02-24,34.2,23.1,0.0
2024-02-25,31.8,21.7,0.0
2024-02-26,29.7,20.2,8.0
2024-02-27,28.9,19.6,10.0
2024-02-28,30.5,20.7,0.0
2024-02-29,32.3,21.8,0.0
2024-03-01,33.6,22.4,0.0
2024-03-02,32.8,21.9,0.0
2024-03-03,31.2,21.0,10.0
2024-03-04,29.5,19.8,14.0
2024-03-05,28.1,18.9,8.0
2024-03-06,27.4,18.2,0.0
2024-03-07,28.9,18.8,0.0
2024-03-08,30.6,19.9,0.0
2024-03-09,31.8,20.7,0.0
2024-03-10,30.4,19.5,0.0
2024-03-11,28.7,18.4,12.0
2024-03-12,27.2,17.6,18.0
2024-03-13,26.5,17.0,10.0
2024-03-14,27.8,17.8,0.0
2024-03-15,29.3,18.9,0.0
2024-03-16,30.9,20.0,0.0
2024-03-17,29.6,19.2,0.0
2024-03-18,27.8,17.9,8.0
2024-03-19,26.3,16.8,14.0
2024-03-20,25.5,16.2,6.0
2024-03-21,26.8,17.1,0.0
2024-03-22,28.4,18.3,0.0
2024-03-23,29.7,19.1,0.0
2024-03-24,28.2,18.0,0.0
2024-03-25,26.9,17.2,5.0
2024-03-26,25.8,16.4,8.0
2024-03-27,24.6,15.5,6.0
2024-03-28,23.9,15.0,0.0
2024-03-29,25.1,15.8,0.0
2024-03-30,26.7,16.9,0.0
2024-03-31,25.3,16.1,4.0
